GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ticket-service,com.epam.training.ticketservice.core.screening.service,ScreeningServiceImpl,216,0,16,0,51,0,15,0,7,0
ticket-service,com.epam.training.ticketservice.core.room.service,RoomServiceImpl,34,49,3,1,8,16,4,4,2,4
ticket-service,com.epam.training.ticketservice.core.screening.model,ScreeningDto.Builder,28,0,0,0,8,0,5,0,5,0
ticket-service,com.epam.training.ticketservice.core.screening.model,ScreeningDto,4,0,0,0,1,0,1,0,1,0
ticket-service,com.epam.training.ticketservice.core.movie.service,MovieServiceImpl,58,49,5,1,14,16,7,4,4,4
ticket-service,com.epam.training.ticketservice.ui.commands,UserCommands,43,0,6,0,12,0,6,0,3,0
ticket-service,com.epam.training.ticketservice.ui.commands,MovieCommands,88,0,8,0,30,0,9,0,5,0
ticket-service,com.epam.training.ticketservice.ui.commands,ScreeningCommands,102,0,8,0,20,0,8,0,4,0
ticket-service,com.epam.training.ticketservice.ui.commands,RoomCommands,95,0,8,0,32,0,9,0,5,0
ticket-service,com.epam.training.ticketservice.core.screening.persistence.entity,Screening,12,0,0,0,5,0,1,0,1,0
ticket-service,com.epam.training.ticketservice.core.user.persistence.entity,User,0,12,0,0,0,5,0,1,0,1
ticket-service,com.epam.training.ticketservice.core.user.persistence.entity,User.Role,0,24,0,0,0,3,0,1,0,1
ticket-service,com.epam.training.ticketservice.core.user.service,UserServiceImpl,0,39,0,2,0,9,0,4,0,3
ticket-service,com.epam.training.ticketservice.core.room.model,RoomDto,0,4,0,0,0,1,0,1,0,1
ticket-service,com.epam.training.ticketservice.core.room.model,RoomDto.Builder,0,28,0,0,0,8,0,5,0,5
ticket-service,com.epam.training.ticketservice.core.room.persistence.entity,Room,0,12,0,0,0,5,0,1,0,1
ticket-service,com.epam.training.ticketservice,Application,8,0,0,0,3,0,2,0,2,0
ticket-service,com.epam.training.ticketservice.core.movie.model,MovieDto,0,4,0,0,0,1,0,1,0,1
ticket-service,com.epam.training.ticketservice.core.movie.model,MovieDto.Builder,0,28,0,0,0,8,0,5,0,5
ticket-service,com.epam.training.ticketservice.ui.configuration,PromptConfig,11,0,0,0,2,0,2,0,2,0
ticket-service,com.epam.training.ticketservice.ui.configuration,InMemoryDatabaseInitializer,13,0,0,0,3,0,1,0,1,0
ticket-service,com.epam.training.ticketservice.core.screening.utils,DateTimeConverter,0,17,0,0,0,4,0,3,0,3
ticket-service,com.epam.training.ticketservice.core.screening.utils,DateTimeChecker,191,0,40,0,39,0,26,0,6,0
ticket-service,com.epam.training.ticketservice.core.movie.persistence.entity,Movie,0,12,0,0,0,5,0,1,0,1
